Source,Target,Weight
Zif,Bardalah,107.0899985826024
Zif,Kardalah,106.6284047044799
Zif,Kh. Humsah,16.04823997561808
Zif,Tammun,93.63631411848613
Zif,Hamam al-Maleh,100.73760038362457
Zif,Tayasir,99.8894228474677
Zif,Kh. 'Atuf,93.13857193708972
Zif,al-Burj (Tubas),22.07757144898848
Zif,'Azzun 'Atmah,73.76974798052275
Zif,a-Nabi Elyas,80.49392972604882
Zif,Jayus,82.05062277377445
Zif,Hajjah,81.93399786337771
Zif,Hablah,78.97729695071466
Zif,al-Funduq,79.7512906960829
Zif,Kafr Laqif,79.58467121858386
Zif,Immatin,80.57742756077731
Zif,Jinsafut,79.25451217736328
Zif,Ras 'Atiya,78.0557069041177
Zif,'Arab a-Ramadin al-Janubi,79.83379127947886
Zif,Qalqiliyah,82.29286149333835
Zif,Jit,83.54507421928967
Zif,'Ein Samia,60.88421051284887
Zif,Beit Sira,47.55092611495716
Zif,a-Lubban al-Gharbiyah,63.8849734023279
Zif,Ramallah,48.94169423184184
Zif,al-Mazra'ah al-Qibliyah,53.948637301457154
Zif,Ni'lin,54.54751066857447
Zif,Um Safa,60.25326017231782
Zif,Deir a-Sudan,62.7813512198826
Zif,Deir 'Ammar,55.668241559157124
Zif,Sinjil,64.08026131237882
Zif,Wadi a-Siq,130.62031768552424
Zif,Qibyah,58.08490669287373
Zif,al-Birah,50.133219148062494
Zif,Beitin,51.968012626789736
Zif,Rantis,63.54222222908686
Zif,a-Nabi Samwil,40.905891571746324
Zif,Bir Zeit,56.75066460446437
Zif,Deir Nizam,59.571496709708924
Zif,Ras a-Tin,62.753683642719324
Zif,Turmusaya,64.4455089936388
Zif,Kh.Jib'it,67.92199942741496
Zif,Deir Dobwan,50.90192186309523
Zif,a-Tirah,44.832554483990684
Zif,Bitunya,47.09052715820714
Zif,Kobar,57.190758889766656
Zif,Kafr Ni'ma,50.96753097210243
Zif,Deir Qadis,54.22177791070149
Zif,Ras Karkar,52.94873291594874
Hebron,Tarqumya,10.775657575252824
Hebron,Zif,7.9816691906870085
Hebron,Suba,28.53221533591678
Hebron,al-'Arrub R.C.,10.653523879154685
Hebron,Idhna,12.17294521580415
Hebron,al-Hijrah,5.866816317068273
Hebron,Birin,6.622387866224861
Hebron,a-Dhahiriyah,17.393281322934993
Hebron,al-Baq'ah (Hebron),2.7555655786853213
Hebron,Kh. Tatrit ('Arab al-Freijat),25.45019005823087
Hebron,a-Ramadin,24.482840872171558
Hebron,Deir Samit,11.63504109820555
Hebron,Kh. Iqteit,23.78058019972915
Hebron,Kh. Ma'in,13.750298024241275
Hebron,a-Zuweidin,14.356488680553714
Hebron,Kharas,10.549327499052488
Hebron,Beit Ula,10.233761630054715
Hebron,al-Mufaqarah,14.928176624891522
Hebron,al-Buweib,6.321392869228939
Hebron,Masafer Bani Na'im (Khallet al-Masafer),14.982755707119662
Hebron,Qalqas,3.8949605889438
Hebron,Shuyukh al-'Arrub,7.407628960154564
Hebron,Dura,7.098795620319384
Hebron,a-Tuwani,13.901501575987451
Hebron,Farsh al-Hawa,3.5942403682951958
Hebron,Um Lasafa,12.123142726813816
Hebron,al-Jawaya,12.804417735721332
Hebron,Bani Na'im,6.6724385589404775
Hebron,Beit 'Einun,4.978033055645167
Hebron,a-Rifa'iya,10.512021407395803
Hebron,Sa'ir,7.44248888656263
Hebron,Khallet al-Mayah,10.179000727323267
Hebron,Halhul,5.668758276580883
Hebron,Beit Ummar,10.473594628802534
Hebron,Beit Kahil,5.3385419686571325
Hebron,'Arab al-Fureijat,25.451032018788258
Hebron,Far'a,7.97283698867085
Hebron,al-Karmel,12.832319944950234
Hebron,a-Samu',14.743657500598799
Hebron,Kh. Susiya,14.122172848405873
Hebron,Beit 'Awwa,14.156127912762921
Hebron,Beit Mirsim,19.426775244224803
Hebron,Yatta,9.391173867997077
Hebron,al-Burj,20.462414131337884
Hebron,Deir Razih,8.166415366407682
Hebron,'Arab al-Freijat,25.472486596010224
Hebron,Kh. a-Rahwah,23.033129659292555
Hebron,Humsah,10.674257111378338
Hebron,Sikkah,15.165355462031608
Hebron,Masafer Yatta,18.320502025787665
Hebron,al-Fawar R.C.,6.3104728945395445
Hebron,Shufah,82.95176666750032
Hebron,Nur Shams R.C.,87.68149725760986
Hebron,Beit Lid,81.3332556986216
Hebron,Tulkarm,87.93700217937192
Hebron,Deir al-Ghusun,91.46473140935382
Hebron,Kh. Jubara,82.21852214636301
Hebron,Nazlat 'Isa,98.30853817152912
Hebron,Bidu,34.19457638135366
Hebron,a-Za'ayem,32.77953562499474
Hebron,al-Muntar,31.529746578170883
Hebron,Wadi Abu al-Hindy,32.8577775427615
Hebron,Qalandia,38.37801206730408
Hebron,Hizma,37.58875097826098
Hebron,al-'Eizariyah,31.38425841115415
Hebron,a-Sawahrah a-Sharqiyah,29.132348840237608
Hebron,a-Ram,37.813742971563755
Hebron,al-Kasarat,36.739230341643626
Hebron,'Anata,34.92458686696472
Hebron,al-Jib,36.63971199062923
Hebron,al-Khalayleh,36.15244352408277
Hebron,Abu Dis,30.38407109984585
Hebron,Abu a-Nuwar,31.98087440847617
Hebron,Mikhmas,41.64119240519183
Hebron,Khan al-Ahmar (Bedouin Community),38.84727115923785
Hebron,Beit Iksa,32.89766278023399
Hebron,a-Zar'i (Za’atrah),22.06683470007526
Hebron,Beit Surik,33.170193843851486
Hebron,al-Ka'abneh,39.72054339682514
Hebron,Jericho,50.571119703475574
Hebron,al-Jiftlik,78.0099760111307
Hebron,al-'Auja,58.47986512472652
Hebron,Fasayil al-Wusta,91.82126615821451
Hebron,'Aqbat Jaber R.C.,47.974611168167314
Hebron,Wadi al-Ahmar,68.66704257894894
Hebron,a-Zbeidat,82.4636008097289
Hebron,Marj Na'jah,83.95368590478033
Hebron,Fasayil,64.1652832858296
Hebron,Ras 'Ein al-'Auja,54.782638496643635
Hebron,Deir Hajla,50.030083964020356
Hebron,Deir al-Qilt,44.63644672095046
Hebron,a-Nabi Musa,42.625127231009145
Hebron,Jenin,105.44794167659897
Hebron,al-Mughayir,61.19337326760226
Hebron,Jenin R.C.,105.44794167659897
Hebron,al-Jalameh,111.03196074105139
Hebron,Kfar Dan,106.3463243569087
Hebron,Um a-Rihan,105.94040958160684
Hebron,Jalbun,107.56083513474012
Hebron,Farasin,99.7722646047532
Hebron,Rummanah,111.17823201090245
Hebron,Ya'bad,102.05270608322867
Hebron,Silat al-Harithiya,109.47387073002999
Hebron,Turah al-Gharbiyah,104.48472044816923
Hebron,Barta'ah a-Sharqiyah,104.1377590625825
Hebron,a-Taybah,109.75506850403214
Hebron,Deir Ballut,59.862104134329186
Hebron,Haris,64.35805302591068
Hebron,Kafr a-Dik,59.91039349952623
Hebron,Qarawat Bani Hassan,66.5026043603594
Hebron,Bruqin,60.32069107190059
Hebron,Deir Istiya,66.87201465020178
Hebron,Salfit,62.18865550067951
Hebron,Bidya,64.85725300890468
Hebron,a-Zawiya,63.71668485747537
Hebron,Sarta,63.438342210872236
Hebron,'Ein Shibli,83.46891139765923
Hebron,Balata R.C.,77.3515034261182
Hebron,'Askar R.C.,78.54656131692329
Hebron,Duma,63.82768679155479
Hebron,Jurish,67.06975757125039
Hebron,Nablus,78.53479999815323
Hebron,Furush Beit Dajan,80.05476968282235
Hebron,Lifjim,72.1236101832452
Hebron,Qusrah,65.52455628979206
Hebron,Deir Sharaf,81.0052589475173
Hebron,a-Sawiyah,63.5446184898047
Hebron,Deir al-Hatab,79.20408143977208
Hebron,Rujeib,75.79285770447095
Hebron,Huwarah,70.70435568598401
Hebron,Bizzariya,86.55978136181213
Hebron,Sabastiya,83.52573625442506
Hebron,Beit Dajan,78.30879666746482
Hebron,Qusin,79.19135038104513
Hebron,a-Lubban a-Sharqiyah,61.64526508719123
Hebron,Qabalan,66.08734350888597
Hebron,'Asirah a-Shamaliyah,81.8203278550365
Hebron,Burqah,42.669568002079906
Hebron,Zawata,80.29321769336238
Hebron,Battir,22.44637247257955
Hebron,Beit Jala,22.43617935286698
Hebron,Bir 'Unah,23.047341139760416
Hebron,Irtas,19.865838218685333
Hebron,al-Walajah,23.009218733072462
Hebron,al-Khader,19.710870557754745
Hebron,Jub a-Dib,20.793868323083657
Hebron,al-Fureidis,19.888987163596905
Hebron,Nahhalin,17.615051983675016
Hebron,Husan,20.251863011888574
Hebron,Tekoa,16.443327177954654
Hebron,al-Maniyah,15.434480514857462
Hebron,al-Halqum,16.28503189940979
Hebron,Beit Fajjar,11.680484230063264
Hebron,Khallet Sakariya,15.13710109001575
Hebron,Wadi Fukin,19.806629284309135
Hebron,'Arab a-Rashayidah,21.560260728160692
Hebron,al-Khas,25.06448075444183
Hebron,Khallet al-Louza,18.640620640958996
Hebron,Harmalah,42.73224636836109
Hebron,Wadi Rahhal,16.95411395650783
Hebron,Beit Ta'mar,21.58678668789184
Hebron,Kh. a-Nahlah,18.414020409237775
Hebron,Kisan,14.149033569294856
Hebron,Bethlehem,22.04830683141479
Hebron,Kh. Humsah a-Tahta,10.609959368411563
Hebron,Kh. al-Maleh (Hamamat al-Maleh),95.38827367498794
Hebron,Kh. a-Ras al-Ahmar,89.65026595796745
Hebron,Kh.Ibziq,98.68770190447385
Hebron,Kh. 'Einun,69.62299536385756
Hebron,Bardalah,101.79172984657723
Hebron,Kardalah,101.40924414938297
Hebron,Kh. Humsah,10.469387427403522
Hebron,Tammun,88.04226384549791
Hebron,Hamam al-Maleh,95.55618913821168
Hebron,Tayasir,94.24509861332749
Hebron,Kh. 'Atuf,87.82394654100122
Hebron,al-Burj (Tubas),20.430238769542488
Hebron,'Azzun 'Atmah,66.35147528780182
Hebron,a-Nabi Elyas,73.1026588326684
